English Word	anger	anticipation	disgust	fear	joy	negative	positive	sadness	surprise	trust	Tunisian Word
abate	0	0	0	0	0	0	0	0	0	0	n9oss
abatement	0	0	0	0	0	0	0	0	0	0	tn9is
abba	0	0	0	0	0	0	1	0	0	0	abba
abbot	0	0	0	0	0	0	0	0	0	1	ra7ib
abbreviate	0	0	0	0	0	0	0	0	0	0	9assar
abbreviation	0	0	0	0	0	0	0	0	0	0	t9sir
abdomen	0	0	0	0	0	0	0	0	0	0	kersh
abdominal	0	0	0	0	0	0	0	0	0	0	kerchi
abduction	0	0	0	1	0	1	0	1	1	0	khatf
aberrant	0	0	0	0	0	1	0	0	0	0	ghalét
aberration	0	0	1	0	0	1	0	0	0	0	khté2
abeyance	0	0	0	0	0	0	0	0	0	0	taw9if
abhor	1	0	1	1	0	1	0	0	0	0	krah
abhorrent	1	0	1	1	0	1	0	0	0	0	9bi7
abide	0	0	0	0	0	0	0	0	0	0	tba3
ability	0	0	0	0	0	0	1	0	0	0	9odra
abject	0	0	1	0	0	1	0	0	0	0	7qir
ablation	0	0	0	0	0	0	0	0	0	0	7adhf
ablaze	0	0	0	0	0	0	0	0	0	0	7arg
abnormal	0	0	1	0	0	1	0	0	0	0	ghir tab3i
aboard	0	0	0	0	0	0	0	0	0	0	fou9 l-babour
abode	0	0	0	0	0	0	0	0	0	0	maskan
abolish	1	0	0	0	0	1	0	0	0	0	lagha
abolition	0	0	0	0	0	1	0	0	0	0	laghy
abominable	0	0	1	1	0	1	0	0	0	0	9bi7
abomination	1	0	1	1	0	1	0	0	0	0	fad7a
aboriginal	0	0	0	0	0	0	0	0	0	0	assli
abort	0	0	0	0	0	1	0	0	0	0	ijhadh
abortion	0	0	1	1	0	1	0	1	0	0	ijhadh
abortive	0	0	0	0	0	1	0	1	0	0	fashoush
abound	0	0	0	0	0	0	0	0	0	0	kthir
abovementioned	0	0	0	0	0	0	1	0	0	0	madhkur fou9
abrasion	0	0	0	0	0	1	0	0	0	0	s7aja
abroad	0	0	0	0	0	0	0	0	0	0	barbara
abrogate	0	0	0	0	0	1	0	0	0	0	lagha
abrupt	0	0	0	0	0	0	0	0	1	0	nagha
abruptly	0	0	0	0	0	0	0	0	0	0	bel9atla
abscess	0	0	0	0	0	1	0	1	0	0	damlou
absence	0	0	0	1	0	1	0	1	0	0	3adm
absent	0	0	0	0	0	1	0	1	0	0	ghayeb
absentee	0	0	0	0	0	1	0	1	0	0	ghayeb
absenteeism	0	0	0	0	0	1	0	0	0	0	tghayyob
absinthe	0	0	0	0	0	0	0	0	0	0	absinth
absolute	0	0	0	0	0	0	1	0	0	0	mo9ta3
absolution	0	0	0	0	1	0	1	0	0	1	3afu
absorbed	0	0	0	0	0	0	1	0	0	0	mensajem
absorbent	0	0	0	0	0	0	0	0	0	0	massas
absorbing	0	0	0	0	0	0	0	0	0	0	meshou9
absorption	0	0	0	0	0	0	0	0	0	0	istinsakh
abstain	0	0	0	0	0	0	0	0	0	0	imtana3
abstention	0	0	0	0	0	0	0	0	0	0	imtina3
abstinence	0	0	0	0	0	0	0	0	0	0	zohd
abstract	0	0	0	0	0	0	0	0	0	0	mojarrad
abstraction	0	0	0	0	0	0	0	0	0	0	tajrid
absurd	0	0	0	0	0	1	0	0	0	0	3abath
absurdity	0	0	0	0	0	1	0	0	0	0	3abathiyya
abundance	0	1	1	0	1	1	1	0	0	1	kthra
abundant	0	0	0	0	1	0	1	0	0	0	wafer
abuse	1	0	1	1	0	1	0	1	0	0	istighlal
abutment	0	0	0	0	0	0	0	0	0	0	sand
aby	0	0	0	0	0	0	0	0	0	0	aby
abysmal	0	0	0	0	0	1	0	1	0	0	mo7il
abyss	0	0	0	1	0	1	0	1	0	0	ghar
academic	0	0	0	0	0	0	1	0	0	1	akadimi
academy	0	0	0	0	0	0	1	0	0	0	akademya
accede	0	0	0	0	0	0	0	0	0	0	wafe9
accelerate	0	1	0	0	0	0	0	0	0	0	sara3
acceleration	0	0	0	0	0	0	0	0	0	0	tsari3
accent	0	0	0	0	0	0	0	0	0	0	lahja
accentuate	0	0	0	0	0	0	0	0	0	0	nabbeh
accept	0	0	0	0	0	0	0	0	0	0	9bel
acceptable	0	0	0	0	0	0	1	0	0	0	mo9bol
acceptance	0	0	0	0	0	0	1	0	0	0	9oboul
access	0	0	0	0	0	0	0	0	0	0	dkhou
accessible	0	0	0	0	0	0	1	0	0	0	metna7
accession	0	0	0	0	0	0	0	0	0	0	indhima
accessory	0	0	0	0	0	0	0	0	0	0	akseswar
accident	0	0	0	1	0	1	0	1	1	0	7adth
accidental	0	0	0	1	0	1	0	0	1	0	3aradhi
accidentally	0	0	0	0	0	0	0	0	1	0	bel9sad
accolade	0	1	0	0	1	0	1	0	1	1	ta7iya
accommodate	0	0	0	0	0	0	0	0	0	0	wadhaf
accommodation	0	0	0	0	0	0	1	0	0	0	sakn
accompaniment	0	1	0	0	1	0	1	0	0	1	mosayra
accompany	0	0	0	0	0	0	0	0	0	0	raf9
accompanying	0	0	0	0	0	0	0	0	0	0	morafa9
accomplice	0	0	0	0	0	0	0	0	0	0	sharik
accomplish	0	0	0	0	1	0	1	0	0	0	najja7
accomplished	0	0	0	0	1	0	1	0	0	0	monjaz
accomplishment	0	0	0	0	0	0	1	0	0	0	injaz
accord	0	0	0	0	0	0	1	0	0	1	ittifa9
accordance	0	0	0	0	0	0	0	0	0	0	motaba9a
accordion	0	0	0	0	0	0	0	0	0	0	akordyon
account	0	0	0	0	0	0	0	0	0	1	7sab
accountability	0	0	0	0	0	0	1	0	0	1	mas2ouliya
accountable	0	0	0	0	0	0	1	0	0	1	mas2oul
accountant	0	0	0	0	0	0	0	0	0	1	mo7asib
accounting	0	0	0	0	0	0	0	0	0	0	mo7asaba
accounts	0	0	0	0	0	0	0	0	0	1	7isabat
accredited	0	0	0	0	0	0	1	0	0	1	mo3tamad
accretion	0	0	0	0	0	0	0	0	0	0	tarakom
accrue	0	0	0	0	0	0	0	0	0	0	tajma3
accueil	0	0	0	0	0	0	1	0	0	0	isti9bal
accumulate	0	0	0	0	0	0	0	0	0	0	jma3
accumulation	0	0	0	0	0	0	0	0	0	0	tjmi3
accuracy	0	0	0	0	0	0	0	0	0	0	dhi9a
accurate	0	0	0	0	0	0	1	0	0	1	dha9i9
accursed	1	0	0	1	0	1	0	1	0	0	mla3oun
accusation	1	0	1	0	0	1	0	0	0	0	ittiham
accusative	0	0	0	0	0	1	0	0	0	0	maf3oul
accused	1	0	0	1	0	1	0	0	0	0	mott ham
accuser	1	0	0	1	0	1	0	0	0	0	mottihim
accusing	1	0	0	1	0	1	0	0	0	0	ittihami
accustomed	0	0	0	0	0	0	0	0	0	0	mo3tad
ace	0	0	0	0	0	0	1	0	0	0	najma
acetic	0	0	0	0	0	0	0	0	0	0	khall
ache	0	0	0	0	0	1	0	1	0	0	alam
achieve	0	0	0	0	1	0	1	0	0	1	nj7
achievement	0	1	0	0	1	0	1	0	0	1	najah
aching	0	0	0	0	0	1	0	1	0	0	moj3
acid	0	0	0	0	0	1	0	0	0	0	7amidh
acidity	0	0	0	0	0	0	0	0	0	0	7amudhiyya
acknowledge	0	0	0	0	0	0	0	0	0	0	3taraf
acknowledged	0	0	0	0	0	0	0	0	0	0	mo3taraf
acknowledgment	0	0	0	0	0	0	1	0	0	0	i3tiraf
acme	0	0	0	0	0	0	0	0	0	0	9imma
acoustic	0	0	0	0	0	0	0	0	0	0	sawti
acoustics	0	0	0	0	0	0	0	0	0	0	3ilm s-sawt
acquaint	0	0	0	0	0	0	0	0	0	0	3arraf
acquaintance	0	0	0	0	0	0	0	0	0	0	ma3rifa
acquainted	0	0	0	0	0	0	0	0	0	0	ma3rouf
acquiescence	0	0	0	0	0	0	0	0	0	0	mowafa9a
acquire	0	0	0	0	0	0	1	0	0	0	ktsab
acquiring	0	1	0	0	0	0	1	0	0	0	ktisab
acquisition	0	0	0	0	0	0	0	0	0	0	ktisab
acquisitions	0	0	0	0	0	0	0	0	0	0	maktasabat
acreage	0	0	0	0	0	0	0	0	0	0	mas7a
acres	0	0	0	0	0	0	0	0	0	0	feddanat
acrobat	0	0	0	1	1	0	1	0	0	1	akrobat
act	0	0	0	0	0	0	0	0	0	0	9anoun
acting	0	0	0	0	0	0	0	0	0	0	tamthil
action	0	0	0	0	0	0	1	0	0	0	3amal
actionable	1	0	1	0	0	1	0	0	0	0	9abel l-9adha
active	0	0	0	0	0	0	0	0	0	0	nashit
activity	0	0	0	0	0	0	0	0	0	0	nashat
actor	0	0	0	0	0	0	0	0	0	0	momathil
actual	0	0	0	0	0	0	1	0	0	0	7a9i9i
actuality	0	0	0	0	0	0	0	0	0	0	wa9i3
actuary	0	0	0	0	0	0	0	0	0	0	mo7asib ta2min
acuity	0	0	0	0	0	0	1	0	0	0	dhka
acumen	0	0	0	0	0	0	1	0	0	0	firas
acupuncture	0	0	0	0	0	0	0	0	0	0	ibr sinni
acutely	0	0	0	0	0	0	0	0	0	0	bshidda
adage	0	0	0	0	0	0	0	0	0	0	mathal
adamant	0	0	0	0	0	0	0	0	0	0	3anid
adapt	0	0	0	0	0	0	1	0	0	0	takayyaf
adaptable	0	0	0	0	0	0	1	0	0	0	9abil t-takayyof
add	0	0	0	0	0	0	0	0	0	0	dhif
added	0	0	0	0	0	0	0	0	0	0	madhuf
addendum	0	0	0	0	0	0	0	0	0	0	molha9
adder	1	0	1	1	0	1	0	1	0	0	7ayya
addiction	0	0	0	0	0	1	0	0	0	0	idman
addition	0	0	0	0	0	0	0	0	0	0	dhiyafa
additional	0	0	0	0	0	0	0	0	0	0	idhafi
additive	0	0	0	0	0	0	0	0	0	0	madhuf
address	0	0	0	0	0	0	0	0	0	0	3onwan
addressee	0	0	0	0	0	0	0	0	0	0	morsal ileh
addresses	0	1	0	0	0	0	1	0	0	0	3anawin
adept	0	0	0	0	0	0	1	0	0	0	mahir
adequacy	0	0	0	0	0	0	1	0	0	0	kifaya
adequate	0	0	0	0	0	0	0	0	0	0	monasib
adhere	0	0	0	0	0	0	0	0	0	0	ltasa9
adherence	0	0	0	0	0	0	0	0	0	0	iltisag
adherent	0	0	0	0	0	0	0	0	0	0	moltasi9
adhering	0	0	0	0	0	0	0	0	0	1	moltazem
adhesion	0	0	0	0	0	0	0	0	0	0	ltisa9
adhesive	0	0	0	0	0	0	0	0	0	0	lassa9
adieu	0	0	0	0	0	0	0	0	0	0	wada3
adipose	0	0	0	0	0	1	0	0	0	0	da7ni
adjacency	0	0	0	0	0	0	0	0	0	0	jiwar
adjacent	0	0	0	0	0	0	0	0	0	0	mjewar
adjective	0	0	0	0	0	0	0	0	0	0	sifa
adjoining	0	0	0	0	0	0	0	0	0	0	mettasel
adjourn	0	0	0	0	0	0	0	0	0	0	ajjel
adjournment	0	0	0	0	0	0	0	0	0	0	ta2jil
adjudicate	0	0	0	1	0	1	0	0	0	0	9adha
adjudication	0	0	0	0	0	0	0	0	0	0	9adha2
adjunct	0	0	0	0	0	0	1	0	0	0	mo3in
adjust	0	0	0	0	0	0	0	0	0	0	3addel
adjustment	0	0	0	0	0	0	0	0	0	0	ta3dil
adjuvant	0	0	0	0	0	0	0	0	0	0	mos3id
administer	0	0	0	0	0	0	0	0	0	0	iddar
administration	0	0	0	0	0	0	0	0	0	0	idara
administrative	0	0	0	0	0	0	0	0	0	1	idari
admirable	0	0	0	0	1	0	1	0	0	1	3ajib
admiral	0	0	0	0	0	0	1	0	0	1	amiral
admiralty	0	0	0	0	0	0	0	0	0	0	idarat l-ba7riyya
admiration	0	0	0	0	1	0	1	0	0	1	i3jab
admire	0	0	0	0	0	0	1	0	0	1	3jib
admirer	0	0	0	0	0	0	1	0	0	0	mo3jib
admissibility	0	0	0	0	0	0	0	0	0	0	9oboul
admissible	0	0	0	0	0	0	1	0	0	1	mo9bol
admission	0	0	0	0	0	0	0	0	0	0	dkhoul
admit	0	0	0	0	0	0	0	0	0	0	9bel
admittance	0	0	0	0	0	0	0	0	0	0	tslim
admitted	0	0	0	0	0	0	0	0	0	0	mo9taraf
admitting	0	0	0	0	0	0	0	0	0	0	i9rar
admixture	0	0	0	0	0	0	0	0	0	0	khlat
admonition	0	0	0	1	0	1	0	0	0	0	ta7dhir
ado	0	0	0	0	0	0	0	0	0	0	hal
adobe	0	0	0	0	0	0	0	0	0	0	laben
adolescence	0	0	0	0	0	0	0	0	0	0	moraha9a
adolescent	0	0	0	0	0	0	0	0	0	0	morahi9
adopt	0	0	0	0	0	0	0	0	0	0	tabanna
adoption	0	0	0	0	0	0	0	0	0	0	tabanni
adorable	0	0	0	0	1	0	1	0	0	0	7lou
adoration	0	0	0	0	1	0	1	0	0	1	3ibada
adore	0	1	0	0	1	0	1	0	0	1	3bad
adorn	0	0	0	0	0	0	0	0	0	0	zayyen
adornment	0	0	0	0	0	0	0	0	0	0	zin
adrift	0	1	0	1	0	1	0	1	0	0	tae7
adult	0	0	0	0	0	0	0	0	0	0	kbir
adulterated	0	0	0	0	0	1	0	0	0	0	maghsoush
adultery	0	0	1	0	0	1	0	1	0	0	zina
advance	0	1	0	1	1	0	1	0	1	0	ta9addom
advanced	0	0	0	0	0	0	1	0	0	0	met9addem
advancement	0	0	0	0	0	0	1	0	0	0	ta9addom
advancing	0	0	0	0	0	0	0	0	0	0	ta9addom
advantage	0	0	0	0	0	0	1	0	0	0	fadha
advantageous	0	0	0	0	0	0	1	0	0	0	mofid
advent	0	1	0	0	1	0	1	0	0	1	majia
adventure	0	1	0	0	0	0	1	0	0	0	moghammra
adventurer	0	0	0	0	0	0	0	0	0	0	moghammir
adventurous	0	0	0	0	0	0	1	0	0	0	moghammir
adversary	1	0	0	0	0	1	0	0	0	0	khsim
adverse	1	0	1	1	0	1	0	1	0	0	mo9abil
adversity	1	0	0	1	0	1	0	1	0	0	naks
advertise	0	0	0	0	0	0	0	0	0	0	3lan
advertisement	0	0	0	0	0	0	0	0	0	0	i3lan
advice	0	0	0	0	0	0	0	0	0	1	nasi7a
advisable	0	0	0	0	0	0	1	0	0	1	monasib
advise	0	0	0	0	0	0	1	0	0	1	nasa7
advised	0	0	0	0	0	0	0	0	0	1	man sou7
advisement	0	0	0	0	0	0	0	0	0	0	mashoura
adviser	0	0	0	0	0	0	1	0	0	1	monsi7
advocacy	1	1	0	0	1	0	1	0	0	1	difa3
advocate	0	0	0	0	0	0	0	0	0	1	mo7ami
aegis	0	0	0	0	0	0	0	0	0	0	7imaya
aeration	0	0	0	0	0	0	0	0	0	0	tahwiya
aerial	0	0	0	0	0	0	0	0	0	0	jawwi
aerodrome	0	0	0	0	0	0	0	0	0	0	matar
aerodynamics	0	0	0	0	0	0	0	0	0	0	3ilm l-hawa
aeronautics	0	0	0	0	0	0	0	0	0	0	3ilm t-tayaran
aeroplane	0	0	0	0	0	0	0	0	0	0	tayyara
aesthetic	0	0	0	0	0	0	1	0	0	0	jamali
aesthetics	0	0	0	0	1	0	1	0	0	0	3ilm l-jamal
aetiology	0	0	0	0	0	0	0	0	0	0	3ilm l-asbab
afar	0	0	0	0	0	0	0	0	0	0	b3id
affable	0	0	0	0	0	0	1	0	0	0	latif
affair	0	0	0	0	0	0	0	0	0	0	9adhiya
affecting	0	0	0	0	0	0	0	0	0	0	mo2aththir
affection	0	0	0	0	1	0	1	0	0	1	7obb
affections	0	0	0	0	0	0	0	0	0	0	7anina
affiche	0	0	0	0	0	0	0	0	0	0	poster
affidavit	0	0	0	0	0	0	0	0	0	0	ta7lif
affiliated	0	0	0	0	0	0	1	0	0	0	montasib
affiliation	0	0	0	0	0	0	0	0	0	0	intisab
affinity	0	0	0	0	0	0	0	0	0	0	tawahhod
affirm	0	0	0	0	0	0	1	0	0	1	akkad
affirmation	0	0	0	0	0	0	1	0	0	0	ta2kid
affirmative	0	0	0	0	0	0	1	0	0	0	ijabi
affirmatively	0	0	0	0	0	0	1	0	0	1	bel-ijab
affix	0	0	0	0	0	0	0	0	0	0	lassa9
afflict	0	0	0	1	0	1	0	1	0	0	3adhdhab
afflicted	0	0	0	0	0	1	0	0	0	0	mo3adhdhab
affliction	0	0	1	1	0	1	0	1	0	0	3adhab
affluence	0	0	0	0	1	0	1	0	0	0	ghina
affluent	0	0	0	0	0	0	1	0	0	0	ghani
afford	0	0	0	0	0	0	1	0	0	0	9der
affront	1	0	1	1	0	1	0	1	1	0	ihana
afield	0	0	0	0	0	0	0	0	0	0	fil-7a9l
afore	0	0	0	0	0	0	0	0	0	0	9bal
aforementioned	0	0	0	0	0	0	0	0	0	0	madhkur
aforesaid	0	0	0	0	0	0	0	0	0	0	sabi9
afraid	0	0	0	1	0	1	0	0	0	0	khayef
afresh	0	0	0	0	0	0	0	0	0	0	men jdid
aft	0	0	0	0	0	0	0	0	0	0	men wara
aftermath	1	0	1	1	0	1	0	1	0	0	natija
afternoon	0	0	0	0	0	0	0	0	0	0	ba3d l-dhohr
aftertaste	0	0	0	0	0	1	0	0	0	0	ta3m ba3di
afterthought	0	0	0	0	0	0	0	0	0	0	fikra ba3diyya
aga	0	0	0	1	0	0	1	0	0	1	agha
agate	0	0	0	0	0	0	0	0	0	0	3a9i9
age	0	0	0	0	0	0	0	0	0	0	3omr
aged	0	0	0	0	0	0	0	0	0	0	kbir
agency	0	0	0	0	0	0	0	0	0	0	wikala
agent	0	0	0	0	0	0	0	0	0	0	wakil
agglomeration	0	0	0	0	0	0	0	0	0	0	tjammi3
aggravated	1	0	0	0	0	1	0	0	0	0	metnarvez
aggravating	1	0	0	0	0	1	0	1	0	0	mo9ri
aggravation	1	0	1	0	0	1	0	0	0	0	ta9rir
aggregate	0	0	0	0	0	0	0	0	0	0	majmou3
aggregation	0	0	0	0	0	0	0	0	0	0	tjmi3
aggression	1	0	0	1	0	1	0	0	0	0	3odwan
aggressive	1	0	0	1	0	1	0	0	0	0	3adwani
aggressor	1	0	0	1	0	1	0	0	0	0	mo3tadi
aghast	0	0	1	1	0	1	0	0	1	0	metsaddem
agile	0	0	0	0	0	0	1	0	0	0	sari3
agility	0	0	0	0	0	0	1	0	0	0	sor3a
agitated	1	0	0	0	0	1	0	0	0	0	mohl
agitation	1	0	0	0	0	1	0	0	0	0	ihraj
agnostic	0	0	0	0	0	0	0	0	0	0	la adri
ago	0	0	0	0	0	0	0	0	0	0	men 9bal
agonizing	0	0	0	1	0	1	0	0	0	0	moj3
agony	1	0	0	1	0	1	0	1	0	0	3adhab
agree	0	0	0	0	0	0	1	0	0	0	wafe9
agreeable	0	0	0	0	0	0	1	0	0	1	monasib
agreed	0	0	0	0	0	0	1	0	0	1	mettafe9
agreeing	0	0	0	0	0	0	1	0	0	1	mowafa9a
agreement	0	0	0	0	0	0	1	0	0	1	ittifa9
agricultural	0	0	0	0	0	0	0	0	0	0	zira3i
agriculture	0	0	0	0	0	0	1	0	0	0	zira3a
aground	0	0	0	0	0	1	0	0	0	0	3alqa
agua	0	0	0	0	0	0	0	0	0	0	ma
ahead	0	0	0	0	0	0	1	0	0	0	9oddem
aid	0	0	0	0	0	0	1	0	0	0	3awn
aiding	0	0	0	0	0	0	1	0	0	0	mo3awna
ail	0	0	0	0	0	1	0	1	0	0	3illa
ailing	0	0	0	1	0	1	0	1	0	0	mridh
ailment	0	0	0	0	0	0	0	0	0	0	mardh
aim	0	0	0	0	0	0	0	0	0	0	hadaf
aimless	0	0	0	0	0	1	0	0	0	0	bila hadaf
air	0	0	0	0	0	0	0	0	0	0	hawa
airbag	0	0	0	0	0	0	0	0	0	0	west l-7imaya
airlift	0	0	0	0	0	0	0	0	0	0	n9al jawwi
airline	0	0	0	0	0	0	0	0	0	0	shirka tayaran
airman	0	0	0	0	0	0	0	0	0	0	tayyar
airplane	0	0	0	0	0	0	0	0	0	0	tayyara
airport	0	1	0	0	0	0	0	0	0	0	matar
airs	0	0	1	0	0	1	0	0	0	0	taka
airship	0	0	0	0	0	0	0	0	0	0	monfakh
aisle	0	0	0	0	0	0	0	0	0	0	mamarr
ait	0	0	0	0	0	0	0	0	0	0	ait
ajar	0	0	0	0	0	0	0	0	0	0	mefto7
akin	0	0	0	0	0	0	0	0	0	1	9rib
alabaster	0	0	0	0	0	0	1	0	0	0	marmar
alarm	0	0	0	1	0	1	0	0	1	0	in9adh
alarming	0	0	0	1	0	1	0	0	1	0	kha2if
alb	0	0	0	0	0	0	0	0	0	1	khit
album	0	0	0	0	0	0	0	0	0	0	albom
alchemy	0	0	0	0	0	0	0	0	0	0	kimya
alcohol	0	0	0	0	0	0	0	0	0	0	alkol
alcoholism	1	0	1	1	0	1	0	1	0	0	idman l-alkol
alcove	0	0	0	0	0	0	0	0	0	0	ko7
alert	0	0	0	0	0	0	0	0	0	0	ta7dhir
alertness	0	1	0	1	0	0	1	0	1	0	ya9dha
alerts	0	1	0	1	0	0	0	0	1	0	ta7dhirat
alfalfa	0	0	0	0	0	0	0	0	0	0	fasfasa
algebra	0	0	0	0	0	0	0	0	0	0	algebra
algebraic	0	0	0	0	0	0	0	0	0	0	algebra2i
algorithm	0	0	0	0	0	0	0	0	0	0	khawrizmiya
alibi	0	0	0	0	0	0	0	0	0	0	3othr
alien	0	0	1	1	0	1	0	0	0	0	gharib
alienate	1	0	1	0	0	1	0	0	0	0	nabba
alienated	0	0	0	0	0	1	0	1	0	0	monboudh
alienation	1	0	1	1	0	1	0	1	0	0	inbidh
alight	0	0	0	0	0	0	0	0	0	0	nour
aligned	0	0	0	0	0	0	0	0	0	0	mosattat
alignment	0	0	0	0	0	0	0	0	0	0	tasattot
alike	0	0	0	0	0	0	0	0	0	0	metshabeh
alimentation	0	0	0	0	0	0	1	0	0	0	ta3m
alimony	0	0	0	0	0	1	0	0	0	0	nafa9a
aliquot	0	0	0	0	0	0	0	0	0	0	9ism
alive	0	1	0	0	1	0	1	0	0	1	7ay
alkali	0	0	0	0	0	0	0	0	0	0	9ali
alkaloids	0	0	0	0	0	0	0	0	0	0	9alawiyyat
allay	0	0	0	0	0	0	1	0	0	0	hadda
allegation	1	0	0	0	0	1	0	0	0	0	iddia3
allege	0	0	0	0	0	1	0	0	0	0	idd3a
alleged	0	0	0	0	0	0	0	0	0	0	modd3a
allegiance	0	0	0	0	0	0	1	0	0	1	wala
allegorical	0	0	0	0	0	0	0	0	0	0	ramzi
allegory	0	0	0	0	0	0	0	0	0	0	ramz
allegro	0	0	0	0	0	0	1	0	0	0	allegro
alleviate	0	0	0	0	0	0	1	0	0	0	khaffaf
alleviation	0	0	0	0	0	0	1	0	0	0	takhfif
alley	0	0	0	0	0	0	0	0	0	0	zen9a
alliance	0	0	0	0	0	0	0	0	0	1	ta7alof
allied	0	0	0	0	0	0	1	0	0	1	mota7allif
alligator	0	0	0	0	0	0	0	0	0	0	timsah
allocate	0	0	0	0	0	0	0	0	0	0	9assam
allocation	0	0	0	0	0	0	0	0	0	0	ta9sim
allot	0	0	0	0	0	0	0	0	0	0	farraz
allotment	0	0	0	0	0	0	0	0	0	0	tafriz
allowable	0	0	0	0	0	0	1	0	0	0	masmou7
allowance	0	0	0	0	0	0	0	0	0	0	mokhassas
allowed	0	0	0	0	0	0	0	0	0	0	masmou7
alloy	0	0	0	0	0	0	0	0	0	0	khalita
allure	0	1	0	0	1	0	1	0	1	0	jasad
alluring	0	0	0	0	0	0	1	0	0	0	jadhdhab
allusion	0	0	0	0	0	0	0	0	0	0	talwi7
alluvial	0	0	0	0	0	0	0	0	0	0	nahri
ally	0	0	0	0	0	0	1	0	0	1	7alif
almanac	0	0	0	0	0	0	0	0	0	0	takwim
almighty	0	0	0	0	0	0	1	0	0	0	3adhim
aloft	0	0	0	0	0	0	0	0	0	0	fou9
aloha	0	1	0	0	1	0	1	0	0	0	salam
alongside	0	0	0	0	0	0	0	0	0	0	janb
aloof	0	0	0	0	0	1	0	0	0	0	ba3id
aloud	0	0	0	0	0	0	0	0	0	0	bel-9weh
alphabet	0	0	0	0	0	0	0	0	0	0	abjadiya
alphabetical	0	0	0	0	0	0	0	0	0	0	abjadi
altar	0	0	0	0	0	0	0	0	0	0	madhba7
alter	0	0	0	0	0	0	0	0	0	0	baddel
alteration	0	0	0	0	0	0	0	0	0	0	tabdil
altercation	1	0	0	0	0	1	0	0	0	0	niza3
altered	0	0	0	0	0	0	0	0	0	0	mobaddal
alternate	0	0	0	0	0	0	0	0	0	0	monawab
alternative	0	0	0	0	0	0	0	0	0	0	badil
altitude	0	0	0	0	0	0	0	0	0	0	irtifa3
alto	0	0	0	0	0	0	0	0	0	0	alto
altogether	0	0	0	0	0	0	0	0	0	0	bel-koll
alumnus	0	0	0	0	0	0	0	0	0	0	khirrij
alveolar	0	0	0	0	0	0	0	0	0	0	lasni
amalgam	0	0	0	0	0	0	0	0	0	0	khalita
amalgamation	0	0	0	0	0	0	0	0	0	0	dmaj
amass	0	0	0	0	0	0	0	0	0	0	jma3
amateur	0	0	0	0	0	0	0	0	0	0	hawi
amaze	0	0	0	0	0	0	0	0	1	0	3ajjab
amazement	0	0	0	0	0	0	0	0	0	0	ta3ajjob
amazingly	0	0	0	0	1	0	1	0	1	0	bshakl 3ajib
ambassador	0	0	0	0	0	0	1	0	0	1	safir
amber	0	0	0	0	0	0	0	0	0	0	kahraman
ambient	0	0	0	0	0	0	0	0	0	0	mo7it
ambiguity	0	0	0	0	0	0	0	0	0	0	ghomoudh
ambiguous	0	0	0	0	0	1	0	0	0	0	ghamidh
ambit	0	0	0	0	0	0	0	0	0	0	madha
ambition	0	1	0	0	1	0	1	0	0	1	tmo7
